Day,Visitor type,Site member,Traffic category,Traffic source,Traffic source URL,UTM campaign source,UTM campaign medium,UTM campaign name,UTM campaign content,UTM campaign keywords,UTM Wix campaign,Page path,Page URL,Country,Region,City,Postal code,Device type,Browser,Browser version,Operating system,IP address,Is the first page viewed (Yes / No),Is the last page viewed (Yes / No),Next page viewed,Previous page viewed,Page views,Site sessions,Unique visitors,Bounce rate,Page exit rate,Avg. session duration,Avg. time on page,Avg. pages per session
2024-05-14,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/contact-us,1,1,1,0.00%,0.00%,34m 18s,9s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/email-marketing,/email-marketing,1,1,1,0.00%,0.00%,39m 51s,3s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/news-1,https://schaumburgmarketplace.net/news-1,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/offers,/jobs,1,1,1,0.00%,0.00%,54m 10s,5s,1
2024-05-23,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,124.0.0.0,Windows,98.226.168.103,Yes,No,/business-directory,,1,1,1,0.00%,0.00%,54s,13s,1
2024-05-28,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/jobs,/business-directory,1,1,1,0.00%,0.00%,46s,5s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/contact-us,/jobs,1,1,1,0.00%,0.00%,13m 29s,3m 31s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/copy-of-services,https://schaumburgmarketplace.net/copy-of-services,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/cart-page,/,1,1,1,0.00%,0.00%,58m 14s,1m 09s,1
2024-05-28,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/news-1,https://schaumburgmarketplace.net/news-1,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/offers,/business-directory,1,1,1,0.00%,0.00%,46s,4s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/email-marketing,https://schaumburgmarketplace.net/email-marketing,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/news-1,/events,1,1,1,0.00%,0.00%,13m 29s,6s,1
2024-05-14,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,Yes,,/jobs,1,1,1,0.00%,100.00%,56s,,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/why-smp,https://schaumburgmarketplace.net/why-smp,United States,IL,Schaumburg,60193,Mobile,Safari,16.6,iOS,98.206.217.54,No,No,/testimonials,/team,1,1,1,0.00%,0.00%,1h 46m 28s,8s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/about-us,/events,1,1,1,0.00%,0.00%,3m 02s,11s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Edge,125.0.0.0,Windows,98.206.217.54,No,No,/business-directory,/about-us,1,1,1,0.00%,0.00%,34m 12s,3m 31s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Mobile,Safari,16.6,iOS,98.206.217.54,No,Yes,,/events,1,1,1,0.00%,100.00%,55s,,1
2024-05-14,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/testimonials,https://schaumburgmarketplace.net/testimonials,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/,1,1,1,0.00%,0.00%,34m 18s,15s,1
